parameter,value,source_status,role
primary_policy,"Refined-LR b1=0.20 -> FiveBin b2=0.10 -> Neighbor-3","EXP009_POLICY_FREEZE_v1.1 / PA5JB3-R2","frozen method"
stage1_risk_direction,"refined_lr_asymmetry high=risky","PA5JA/PA5JB1 inherited","frozen reliability"
stage2_risk_direction,"fivebin_peak_fraction low=risky","PA5JA/PA5JB1 inherited","frozen reliability"
local_search_halfwidth_bins,0.75,"PA5I inherited","continuous refinement"
local_bracket_points,33,"PA5I inherited","continuous refinement"
catastrophic_threshold_bins,0.10,"PA5I inherited","evaluation only"
branch_match_tolerance_bins,0.02,"PA5I inherited","evaluation/context only"
removal_window_bins,3,"PA5C balanced window for Paper1s and BeamDerived","frozen removal"
peak_gate,0.70,"Wang Algorithm-2 / PA5C inherited","removal support"
peak_semantics,PlateauAwareTol,"PA5E-R1 selected","removal support"
pa4_beta_width_paper_rad,1.70e-4,"PA4 measured width","fixed calibration"
pa4_beta_width_beam_rad,8.60e-5,"PA4 measured width","fixed calibration"
beta_grid_step,"W_beta/120","PA5C grid-resolution logic","fixed-domain practical beta search"
beta_grid_margin,"2.5 W_beta","PA5C inherited","fixed-domain practical beta search"
search_velocity_support_mps,"[-5,35]","full current physical simulation family; fixed before per-trial evaluation","closure implementation support"
strong_amp_phase_estimator,"single-template complex LS","Oracle Ledger freeze","practical audit estimate"
weak_search,"full fixed-domain beta search on residual","Oracle Ledger freeze","truth-free weak recovery"
waveform_feasible_threshold,1.0,"PA5B/PA5C inherited","evaluation only"
noise,OFF,"current roadmap","deterministic closure"
SNR_definition,PENDING-DEFINITION,"Policy Freeze v1.1","do not use in this run"
